text,aspect,cleaned_text,cleaned_aspect,label
Doesn't have start date (just due date?,date,Doesnt have start date just due date,date,1
"on unlimited plan you get 120 istock media, 40 remove background image and unlimited premium videos",background image,on unlimited plan you get 120 istock media 40 remove background image and unlimited premium videos,background image,1
| m:  | | linkedin profile,file, m    linkedin profile,file,1
"Introducing new things for certain teams is more difficult, and without the experience of managers without good management, generating ease in administration would be a differential for us to migrate from a system.",teams,Introducing new things for certain teams is more difficult and without the experience of managers without good management generating ease in administration would be a differential for us to migrate from a system,teams,1
i may be able to choose the thumbnail once i put the video onto youtube anyway.,thumbnail,i may be able to choose the thumbnail once i put the video onto youtube anyway,thumbnail,1
to avoid misunderstanding ; 330 $ one time payment,payment,to avoid misunderstanding  330  one time payment,payment,1
paypal for payment of pro plan?,payment,paypal for payment of pro plan,payment,1
great app - the best productivity app.,app,great app  the best productivity app,app,2
Still no 2FA for standalone accounts.,accounts,Still no 2FA for standalone accounts,accounts,1
"if you are importing multiple notebooks, would you mind trying to import your notes in smaller batches?",notes,if you are importing multiple notebooks would you mind trying to import your notes in smaller batches,notes,0
if your team was to do a google search.,Google,if your team was to do a google search,Google,1
I get about 25 irrelevant emails a day and can find no way of stopping this using an iPad,iPad,I get about 25 irrelevant emails a day and can find no way of stopping this using an iPad,iPad,1
"this app is exactly what i was looking for for so long, I am absolutely amazed!",app,this app is exactly what i was looking for for so long I am absolutely amazed,app,2
city wise service and more important stock,service,city wise service and more important stock,service,0
"in accordance with local laws, we are required to charge you tax if you do not have a valid number.",local,in accordance with local laws we are required to charge you tax if you do not have a valid number,local,1
"@visualstudio in 2022, top languages put to the t.",languages, in 2022 top languages put to the t,languages,1
my favorite note taking app!,note taking app!,my favorite note taking app,note taking app,2
its a superb app !,app,its a superb app ,app,2
"the account has been cancelled, but i would still like a refund",refund,the account has been cancelled but i would still like a refund,refund,0
ur customer service is too bad,customer service,ur customer service is too bad,customer service,0
"I am using this as a business, but it will not let me add my international tax number",tax,I am using this as a business but it will not let me add my international tax number,tax,0
deliveries were not made only during couple of days which is quite understandable.,Deliveries,deliveries were not made only during couple of days which is quite understandable,Deliveries,2
Notifications about comments in the cards do not come to the mobile phone.,mobile,Notifications about comments in the cards do not come to the mobile phone,mobile,0
improve the quality of food you deliver.,quality of food,improve the quality of food you deliver,quality of food,0
how do i add my code to invideo subscription plan area?,subscription,how do i add my code to invideo subscription plan area,subscription,1
it is a great app that enabled my to completely remove clutter from phonical wold and move it to digital,app,it is a great app that enabled my to completely remove clutter from phonical wold and move it to digital,app,2
quality of products and services is excellent.,products,quality of products and services is excellent,products,2
"do not have proper bags, bread comes broken",bread,do not have proper bags bread comes broken,bread,0
support everyone and increase salaries,everyone and,support everyone and increase salaries,everyone and,0
best app for organization ever !,app,best app for organization ever ,app,2
"at this time, some features like importing, resizing images, dragging/reordering columns are not available on our mobile apps.",dragging,at this time some features like importing resizing images draggingreordering columns are not available on our mobile apps,dragging,1
how do i change my text box color?,color?,how do i change my text box color,color,1
quality of the veggies should be improved ..,Quality,quality of the veggies should be improved ,Quality,0
"ok, so we have initiated the refund with the details which we had.",refund,ok so we have initiated the refund with the details which we had,refund,1
milk is not delivered yesterday n today too no idea,Milk,milk is not delivered yesterday n today too no idea,Milk,0
why is there no music popping up when i click add music?,popping,why is there no music popping up when i click add music,popping,0
good but not great.,Good,good but not great,Good,2
"deliver , check quality",Quality,deliver  check quality,Quality,2
"i would like to cancel my free trial, however there does not seem to be a button for that.","trial,",i would like to cancel my free trial however there does not seem to be a button for that,trial,1
"hi, i want delete account and payment method .. please send me the process",payment,hi i want delete account and payment method  please send me the process,payment,1
"worst service and no oredictability whether we would receive the scheduled orders or not, and during the lock down just to accommodate new customers existing customers from last one year are deprived services, i was reciebing msg updates due tonlock down conditions we are unable to deliver for so and so dates, from 22nd",service,worst service and no oredictability whether we would receive the scheduled orders or not and during the lock down just to accommodate new customers existing customers from last one year are deprived services i was reciebing msg updates due tonlock down conditions we are unable to deliver for so and so dates from 22nd,service,0
"i was excited to use this app as it was highly recommended, but this makes it completely unusable for me.",app,i was excited to use this app as it was highly recommended but this makes it completely unusable for me,app,0
"here are screenshots of the database in table view, and in calendar view by 'upcoming date'",data,here are screenshots of the database in table view and in calendar view by upcoming date,data,0
"notion seems like a great app however, everytime i type something on the mobile app in notion, my keyboard resets from swiftkey to samsung's inbuilt keyboard.",Notion,notion seems like a great app however everytime i type something on the mobile app in notion my keyboard resets from swiftkey to samsungs inbuilt keyboard,Notion,2
desperately needs widgets.,widget,desperately needs widgets,widget,0
"For a ""Tasks"" app this is the wrong app.",Tasks,For a Tasks app this is the wrong app,Tasks,0
"customer care service, delivery service, easy to use application",Customer care,customer care service delivery service easy to use application,Customer care,2
"this occurs on both web browser and mobile app, logging into notion on a different browser session results in the same thing.",web,this occurs on both web browser and mobile app logging into notion on a different browser session results in the same thing,web,0
but i love this app too much!,app,but i love this app too much,app,2
by giving good quality,quality,by giving good quality,quality,0
and i have faith that the apps will get there soon,apps,and i have faith that the apps will get there soon,apps,2
this mobile version sucks.,mobile version,this mobile version sucks,mobile version,0
"okay, i will cancel this for you from backend and initiate a refund (pro-rata basis)",refund,okay i will cancel this for you from backend and initiate a refund prorata basis,refund,0
Plenty of issues with notifications and now they force a magic link to login into the app.,login,Plenty of issues with notifications and now they force a magic link to login into the app,login,0
great app in functionality and cross platform ability but not 5 stars until they can improve startup time.,functionality,great app in functionality and cross platform ability but not 5 stars until they can improve startup time,functionality,2
the seeker is gone from the project.,project.,the seeker is gone from the project,project,0
is there a way to change the in text animation lenght to less than one second,text,is there a way to change the in text animation lenght to less than one second,text,1
"if everything is as per plan then your service is superb, but when there is any problem customer is not able to contact you.",Service,if everything is as per plan then your service is superb but when there is any problem customer is not able to contact you,Service,0
Best productivity app,productivity,Best productivity app,productivity,2
the only downside is the opening time of the is taking so long that it kills the wonderful experience.,opening time,the only downside is the opening time of the is taking so long that it kills the wonderful experience,opening time,0
"i just started using notion and it is amazing, only thing I would love for the mobile version would be widget's, I would love to use it with my calenders",notion,i just started using notion and it is amazing only thing I would love for the mobile version would be widgets I would love to use it with my calenders,notion,2
says i can use all paid templates,templates,says i can use all paid templates,templates,2
by good customer care help line as there is no response anytime on ur gvn numbers nor d what is app helpline.,customer care,by good customer care help line as there is no response anytime on ur gvn numbers nor d what is app helpline,customer care,0
"service is excellant, keep it up.",Service,service is excellant keep it up,Service,2
"suggest: 1, one step clear trash 2, enter photo in column which in the table.",Trash,suggest 1 one step clear trash 2 enter photo in column which in the table,Trash,1
list items in page inventaire cd,list,list items in page inventaire cd,list,2
this app made me switch from evernote for ever.,app,this app made me switch from evernote for ever,app,2
"# notion is an equal opportunity organization and will not allow discrimination based upon age, ethnicity, ancestry, gender, national origin, disability, race, size, religion, sexual orientation, socioeconomic background, or any other status prohibited by applicable law.",organization, notion is an equal opportunity organization and will not allow discrimination based upon age ethnicity ancestry gender national origin disability race size religion sexual orientation socioeconomic background or any other status prohibited by applicable law,organization,2
no hassles.,No hassles.,no hassles,No hassles,2
"great product, too bad the android app is slow like glue.",android app,great product too bad the android app is slow like glue,android app,0
but i do not want to get charged this time,charged,but i do not want to get charged this time,charged,1
"I use this app daily to accomplish complex tasks quickly and easily. 
",complex tasks,"I use this app daily to accomplish complex tasks quickly and easily 
",complex tasks,1
"AirTable is amazing, but the inability to use so many different views and functions via mobile effectively cripples this app.",functions,AirTable is amazing but the inability to use so many different views and functions via mobile effectively cripples this app,functions,0
this app is great.,app,this app is great,app,2
"david cohen email:  company size: 1 - 100 employees details: interested in enterprise, and want to talk about security",security,david cohen email  company size 1  100 employees details interested in enterprise and want to talk about security,security,1
"so if i get a 720p camera on the free plan and later upgrade, can i still use the 720p video?",upgrade,so if i get a 720p camera on the free plan and later upgrade can i still use the 720p video,upgrade,1
"you can simply upload the background and add text from here too wendy, to make it editable",text,you can simply upload the background and add text from here too wendy to make it editable,text,1
"It's not as usable as the website version, but it works well enough.",website,Its not as usable as the website version but it works well enough,website,1
Helps me manage all the work that my team and I are working on.,team,Helps me manage all the work that my team and I are working on,team,1
"thoughtful response by @ivanhzhao but really confused, no mention of offline mode or backup options.",offline mode,thoughtful response by  but really confused no mention of offline mode or backup options,offline mode,0
i see you had subscribed to the trial and you are charged at the end of the trial period.,trial,i see you had subscribed to the trial and you are charged at the end of the trial period,trial,1
but i want to buy lifetime deal,lifetime,but i want to buy lifetime deal,lifetime,2
I couldn't access the app and subscribe,subscribe,I couldnt access the app and subscribe,subscribe,0
"Sometimes I would like to give permission (access) to edit some tables from the database, some records in the particular table, some columns in the table.",database,Sometimes I would like to give permission access to edit some tables from the database some records in the particular table some columns in the table,database,1
need more tutorials/insights in app.,app.,need more tutorialsinsights in app,app,2
No Offline.,Offline,No Offline,Offline,1
its only showing my 5 most recent videos for any given search,search,its only showing my 5 most recent videos for any given search,search,1
I love Airtable but to be able to log into the App using Google authentication,Google,I love Airtable but to be able to log into the App using Google authentication,Google,1
"i then did the ""create linked database"" to add it to a dashboard page.",dashboard,i then did the create linked database to add it to a dashboard page,dashboard,1
plz allow students to write hand writen notes and importing pdfs and exporting in the app both desktop version and android and keep ur emojis like in the desktop app plz,android,plz allow students to write hand writen notes and importing pdfs and exporting in the app both desktop version and android and keep ur emojis like in the desktop app plz,android,0
"prompt delivery,in time delivery should be improved.","delivery,in",prompt deliveryin time delivery should be improved,deliveryin,0
"I can not go to the electronka connected to the asana from mobile, and the application forcibly sends to the electron address.",mobile,I can not go to the electronka connected to the asana from mobile and the application forcibly sends to the electron address,mobile,0
The appt time field in iOS is not displaying.,displaying,The appt time field in iOS is not displaying,displaying,0
Love timeline.,timeline,Love timeline,timeline,2
Don't get out of my colleague,colleague,Dont get out of my colleague,colleague,1
the app was good but recently encounter a problem attaching files.,files,the app was good but recently encounter a problem attaching files,files,0
i have the s6 lite and I am struggling with doing simple things like deleting lines as the menu and keyboard,S6 Lite,i have the s6 lite and I am struggling with doing simple things like deleting lines as the menu and keyboard,S6 Lite,0
i like notion but there is one thing that is really annoying.,Notion,i like notion but there is one thing that is really annoying,Notion,2
"as of the moment, creating the same view of the table that you arranged in alphabetical order and with regular width is not yet possible with our link feature.",table,as of the moment creating the same view of the table that you arranged in alphabetical order and with regular width is not yet possible with our link feature,table,0
supr salient point was when it started services it was exclusively for milk,Supr,supr salient point was when it started services it was exclusively for milk,Supr,0
chartered financial analyst is the workspace name,workspace,chartered financial analyst is the workspace name,workspace,1
"apologies, for yearly plan we have last 50% discount",discount,apologies for yearly plan we have last 50 discount,discount,2
1.app is very very very slow 2.app taking very very long time to open 3.,app,1app is very very very slow 2app taking very very long time to open 3,app,0
how to edit a link that was sent to me,edit,how to edit a link that was sent to me,edit,1
I'm the biggest fan of this app,biggest,Im the biggest fan of this app,biggest,2
option of changing order should be available .,changing order,option of changing order should be available ,changing order,0
but how do i turn the dark mode off on mobile??,dark mode,but how do i turn the dark mode off on mobile,dark mode,0
"Tried adding a column of numbers.   Trying to calculate a payroll.   With supplemental hours etc.   Gas, parking, etc.

Can't just add up a column without creating additional tables.   MULTIPLE ADDITIONAL TABLES.   And then the videos they have on their web site.    Seriously - how about a way of freezing the video so we can follow the steps.    Watched one video; I had to watch it 20 times at least so I could follow the steps.   

I know, it's not supposed to be excel.   I get it.   Still too complicated to just add up how much I am supposed to be reimbursed for my mileage, parking etc.    

But hey,  not all bad - I haven't torn out all my hair - yet.

In conclusion - still room for improvement.    Think I will just look for an excel type product.",MULTIPLE ADDITIONAL TABLES,"Tried adding a column of numbers   Trying to calculate a payroll   With supplemental hours etc   Gas parking etc

Cant just add up a column without creating additional tables   MULTIPLE ADDITIONAL TABLES   And then the videos they have on their web site    Seriously  how about a way of freezing the video so we can follow the steps    Watched one video I had to watch it 20 times at least so I could follow the steps   

I know its not supposed to be excel   I get it   Still too complicated to just add up how much I am supposed to be reimbursed for my mileage parking etc    

But hey  not all bad  I havent torn out all my hair  yet

In conclusion  still room for improvement    Think I will just look for an excel type product",MULTIPLE ADDITIONAL TABLES,1
"milk sending expiry day not even one day before expiry milk, 3times milk got spoiled.",Milk,milk sending expiry day not even one day before expiry milk 3times milk got spoiled,Milk,0
"For such a popular project management tool, this mobile app is horrible.",project,For such a popular project management tool this mobile app is horrible,project,1
set customer care dept.as effective to redress the complains fast,customer care,set customer care deptas effective to redress the complains fast,customer care,0
Event creation via the app is broken/instant crash.,Event,Event creation via the app is brokeninstant crash,Event,0
quick delivery and time before delivery,delivery,quick delivery and time before delivery,delivery,2
"notion evolution templates and videos #notion, @notionhq, #productivity",Templates,notion evolution templates and videos notion  productivity,Templates,2
"hi, i just export all my content from a workspace, i would like to transfer them in my new one","workspace,",hi i just export all my content from a workspace i would like to transfer them in my new one,workspace,1
"For the company or team can update the process, task, and summary all the things in just one application which is really convenient for me",task,For the company or team can update the process task and summary all the things in just one application which is really convenient for me,task,1
"Very good app, both mobile and desktop versions.",desktop versions,Very good app both mobile and desktop versions,desktop versions,2
i wish notion had widgets on apple devices,Apple devices,i wish notion had widgets on apple devices,Apple devices,0
what about a widget option to add something/,widget,what about a widget option to add something,widget,1
"that is because you are on a professional lifetime plan, which is the lowest paid plan, the business and unlimited are higher plans",Business,that is because you are on a professional lifetime plan which is the lowest paid plan the business and unlimited are higher plans,Business,2
after your current project of performance updates is complete.,performance,after your current project of performance updates is complete,performance,1
absolutely amazing!,Absolutely,absolutely amazing,Absolutely,2
your quality of delivered goods is worst,Your quality,your quality of delivered goods is worst,Your quality,0
but why does my scene zoom out on each picture,picture,but why does my scene zoom out on each picture,picture,0
I used to work on Trello and started using Airtable since last few months.,Trello,I used to work on Trello and started using Airtable since last few months,Trello,1
"i agree it would be great to add global tags to be used inside page content, and we shared this with our engineering and product team to assist with project prioritization and planning.",tags,i agree it would be great to add global tags to be used inside page content and we shared this with our engineering and product team to assist with project prioritization and planning,tags,1
"hi, as far as i can see, there is no visual representation of task dependencies in timeline, which are common in gantt charts.",line,hi as far as i can see there is no visual representation of task dependencies in timeline which are common in gantt charts,line,0
the interface and workflow is innovative and allows you to be as flexible yet simple as you want with your pages and templates.,workflow,the interface and workflow is innovative and allows you to be as flexible yet simple as you want with your pages and templates,workflow,2
very slow interface and loading time.,interface,very slow interface and loading time,interface,0
"I have already set all my pages to have small text, but on the mobile app the text is so large that i can barely see a few lines.",app,I have already set all my pages to have small text but on the mobile app the text is so large that i can barely see a few lines,app,2
"The app is good, but like many on iOS it limps, since you need to be able to use all the views offered by OS X.",views,The app is good but like many on iOS it limps since you need to be able to use all the views offered by OS X,views,1
I am using this for organisation for my itinerary of craft items & it’s working like a dream.,craft,I am using this for organisation for my itinerary of craft items  its working like a dream,craft,1
best notes app i have ever use.,app,best notes app i have ever use,app,2
early morning and quick respone and your milk supply boys are also sincere,milk supply,early morning and quick respone and your milk supply boys are also sincere,milk supply,2
Excellent app for project management,project,Excellent app for project management,project,2
"When they say that AirTable has the power of a database, but is as easy to use as a spreadsheet, they aren’t kidding.

",database,"When they say that AirTable has the power of a database but is as easy to use as a spreadsheet they arent kidding

",database,1
it is like its trying to add but can not download.,download.,it is like its trying to add but can not download,download,0
can invideo upload directly to youtube without having to first download to my computer?,YouTube,can invideo upload directly to youtube without having to first download to my computer,YouTube,1
"hey, i want to create a formula to show proportions of another column.",column.,hey i want to create a formula to show proportions of another column,column,1
"when i tried to move a few columns from this table to a new page, each column got copied as a new, blank page",column,when i tried to move a few columns from this table to a new page each column got copied as a new blank page,column,0
heavy delivery charges,delivery charges,heavy delivery charges,delivery charges,0
"We loved wunderlist for its simplicity and ease of use but then Microsoft bought it and ruined it so we had to look for something else, and we have tried 6 other options before we came across asana and we love it",bought,We loved wunderlist for its simplicity and ease of use but then Microsoft bought it and ruined it so we had to look for something else and we have tried 6 other options before we came across asana and we love it,bought,0
i love the app,app,i love the app,app,2
"the name of the workspace is ""miia's workspace"" the name of the main page is ""nikki"" (this disappeared) the last time i used","workspace""",the name of the workspace is miias workspace the name of the main page is nikki this disappeared the last time i used,workspace,1
i am trying to export a pdf of a dashboard 'annual plan' in my notion workspace which has gallery views as the default for the linked databased on the dashboard.,Dashboard,i am trying to export a pdf of a dashboard annual plan in my notion workspace which has gallery views as the default for the linked databased on the dashboard,Dashboard,1
@notionhq @tuckbroder the problem is even opening this page is impossible now .. slow and not loading,slow,  the problem is even opening this page is impossible now  slow and not loading,slow,0
"I find it an easy program where you can access anywhere, whether it's your phone, iPad or computer.
",iPad,"I find it an easy program where you can access anywhere whether its your phone iPad or computer
",iPad,1
"the android app has some performance issues and minor quirks meaning that i would use the web or desktop versions for making large changes, creating templates, etc.",Android app,the android app has some performance issues and minor quirks meaning that i would use the web or desktop versions for making large changes creating templates etc,Android app,0
and milk also i booked sid's cow milk but your service boy delivered me heritage milk.,cow,and milk also i booked sids cow milk but your service boy delivered me heritage milk,cow,0
i uninstalled notion because it takes too long to load.,load,i uninstalled notion because it takes too long to load,load,0
prompt and professional service,professional service,prompt and professional service,professional service,2
the quality of the vegetables.,vegetables,the quality of the vegetables,vegetables,0
"best app ever, i makes my work more easier then ever.now i created my book shelf as i want.really helpful for.and supportive service they give us thank you notion.",app,best app ever i makes my work more easier then evernow i created my book shelf as i wantreally helpful forand supportive service they give us thank you notion,app,2
dilivery charges are too high.,Dilivery charges,dilivery charges are too high,Dilivery charges,0
"exported, however some editions were not performed as: music, texts .","music,",exported however some editions were not performed as music texts ,music,0
"i like your delivery service, customer support.",delivery,i like your delivery service customer support,delivery,2
"delivery charges are very high,.",delivery,delivery charges are very high,delivery,0
"in other words, for invideo to perform correctly meaning any issues with editing would be derived from invideo software issues/bugs vs related to my connection.",edit,in other words for invideo to perform correctly meaning any issues with editing would be derived from invideo software issuesbugs vs related to my connection,edit,1
this is the best productive app I have downloaded so far!,app,this is the best productive app I have downloaded so far,app,2
my card was charged and i did not realize it was going to be charged $360.,charged,my card was charged and i did not realize it was going to be charged 360,charged,0
"@danielkempe @mirohq @notionhq @youtube @google miro would become powerful once you had integrated in ur workflow, it takes time.",integrated,     miro would become powerful once you had integrated in ur workflow it takes time,integrated,2
your customer service needs to improve in big way.,customer service,your customer service needs to improve in big way,customer service,0
Fulfils every structured data need and also functions as a great place to store just about anything,also functions,Fulfils every structured data need and also functions as a great place to store just about anything,also functions,2
invoke weekly and daily standups to keep people aligned via a whiteboard.,daily,invoke weekly and daily standups to keep people aligned via a whiteboard,daily,1
"if you love the desktop version of notion i have no problem recommending the android version now, too.",Android version,if you love the desktop version of notion i have no problem recommending the android version now too,Android version,0
"i like this app, but for mobile have not dark theme.",dark theme.,i like this app but for mobile have not dark theme,dark theme,0
when i click on the group i can only edit the animation for the whole group.,animation,when i click on the group i can only edit the animation for the whole group,animation,1
"when I am taking notes, I am in a hurry to get the idea recorded","notes,",when I am taking notes I am in a hurry to get the idea recorded,notes,0
it is cancelled but it will be cancelled at the end of the period i.e on 3rd june,cancelled,it is cancelled but it will be cancelled at the end of the period ie on 3rd june,cancelled,1
its like my video media played over the phone,video,its like my video media played over the phone,video,1
prompt delivery and friendly customer service,delivery,prompt delivery and friendly customer service,delivery,2
"so that we can have an overview of all the projects together and keep track of everything runing smoothly however, i think it still lacks a few ""key"" features that would be awesome if you could implement to make it a nicer and more useful tool:","however,",so that we can have an overview of all the projects together and keep track of everything runing smoothly however i think it still lacks a few key features that would be awesome if you could implement to make it a nicer and more useful tool,however,0
everyday you guys have operational issue and bcz of which i have to rush to local shops for milk or anything which i order.,milk,everyday you guys have operational issue and bcz of which i have to rush to local shops for milk or anything which i order,milk,0
great app.,app.,great app,app,2
promised and timely delivery,timely,promised and timely delivery,timely,2
it says I am not connected to the internet and will not work,internet,it says I am not connected to the internet and will not work,internet,0
"if items other than milk are ordered and if they cannot be delivered, need to know beforehand.",milk,if items other than milk are ordered and if they cannot be delivered need to know beforehand,milk,0
timely delivery and convenience,delivery,timely delivery and convenience,delivery,2
We are a digital marketing agency and the app is used for our task management for 3 years now,marketing,We are a digital marketing agency and the app is used for our task management for 3 years now,marketing,1
very laggy and freezes on a device with a snapdragon 855,laggy,very laggy and freezes on a device with a snapdragon 855,laggy,0
"Seems to be a beta version, closes the app only by switching databases.",switching,Seems to be a beta version closes the app only by switching databases,switching,0
give quick response to customer complian,customer complian,give quick response to customer complian,customer complian,0
will it be a separate paid account?,paid account?,will it be a separate paid account,paid account,1
"hi leah, the link that you added to the page comes from my summary notes and does not contain the full notes that i kept in my class notes.",notes.,hi leah the link that you added to the page comes from my summary notes and does not contain the full notes that i kept in my class notes,notes,1
quality of fruits and vegetables are not that much good according to the price.,vegetables,quality of fruits and vegetables are not that much good according to the price,vegetables,0
so happy for the milk delivery,milk delivery,so happy for the milk delivery,milk delivery,2
the delivery is not regular.,delivery,the delivery is not regular,delivery,0
i hope you are doing great today :) we do not currently have a way to set of task that automatically completes based on the end date; sorry about that; it is definitely something other users have been reaching out about.,task,i hope you are doing great today  we do not currently have a way to set of task that automatically completes based on the end date sorry about that it is definitely something other users have been reaching out about,task,1
"I would resolved that even if the data was gone, I would still want to use the product even if i had to start from scratch!",data,I would resolved that even if the data was gone I would still want to use the product even if i had to start from scratch,data,1
"e.g. can i only upload a total of 5mb of images, text etc?","images,",eg can i only upload a total of 5mb of images text etc,images,1
Register a thing card ten minutes to really get north,card,Register a thing card ten minutes to really get north,card,1
In search of a low cost WIP (work in progress) app and found this.,cost,In search of a low cost WIP work in progress app and found this,cost,1
"worst grocery app, they ask customer to add money and they will make it expire without even responding to customer and their customer support is worst i have ever seen, they do not have knowledge about suprdaily policy",customer support,worst grocery app they ask customer to add money and they will make it expire without even responding to customer and their customer support is worst i have ever seen they do not have knowledge about suprdaily policy,customer support,0
We used to be able to swipe a task to the left to show options to assign a new date and delete.  They removed it in recent versions and now you have to enter into each item to make updates. Very inconvenient. Deleting a task now takes 4 button presses.  Please revert.,Deleting,We used to be able to swipe a task to the left to show options to assign a new date and delete  They removed it in recent versions and now you have to enter into each item to make updates Very inconvenient Deleting a task now takes 4 button presses  Please revert,Deleting,0
"great app need inprovement, on android 8.0 swiping left to right brings up the page tab on the right i just want to swipe from the undo button to the + button.",android 8.0,great app need inprovement on android 80 swiping left to right brings up the page tab on the right i just want to swipe from the undo button to the  button,android 80,0
"we would like to start taking advantage of some of the features of enterprise right away, namely setting up seo and separate some pages out into actual workspaces under the ef overarching space.",workspaces,we would like to start taking advantage of some of the features of enterprise right away namely setting up seo and separate some pages out into actual workspaces under the ef overarching space,workspaces,1
"it has great tools, but is so glitchy on my phone and on my ipad (which i hoped would be better).",phone,it has great tools but is so glitchy on my phone and on my ipad which i hoped would be better,phone,0
sometimes the application decides to keep crashing.,application,sometimes the application decides to keep crashing,application,0
"also is it possible to create a shortcut to click on a database entry to select it instead of to input a value - maybe a alt + mouse click or something (i know there is a mouse click > esc, but that is more of a key combo than a shortcut)",shortcut),also is it possible to create a shortcut to click on a database entry to select it instead of to input a value  maybe a alt  mouse click or something i know there is a mouse click  esc but that is more of a key combo than a shortcut,shortcut,1
"professional service, prepaid delivery, very prompt redressal of complaints / quick refunds",Refunds,professional service prepaid delivery very prompt redressal of complaints  quick refunds,Refunds,2
"Application that is used relatively little, we prefer the desktop application.",desktop application,Application that is used relatively little we prefer the desktop application,desktop application,2
Quite disappointing to see that on iPad there is no way to see timeline in portfolios nor project.,portfolios,Quite disappointing to see that on iPad there is no way to see timeline in portfolios nor project,portfolios,1
the best note taking app I have used it for years,app,the best note taking app I have used it for years,app,2
"Reserved for those who speak English VERY fluently.
No link with IOS agenda...
First notification: I earned $2...?
Uninstall: I'm very well organized like this. Another trap where we are pricked",Uninstall,"Reserved for those who speak English VERY fluently
No link with IOS agenda
First notification I earned 2
Uninstall Im very well organized like this Another trap where we are pricked",Uninstall,1
available products are very less.,Available Products,available products are very less,Available Products,0
"either you are on android, ios or on your windows laptop.",iOS,either you are on android ios or on your windows laptop,iOS,0
great delivery and good customer care service,Great delivery,great delivery and good customer care service,Great delivery,2
i can look into this for you - could you share the url or name of the page?,share,i can look into this for you  could you share the url or name of the page,share,1
check the volume of the video clip and the background music from there,music,check the volume of the video clip and the background music from there,music,1
in this troubling times would like to have products delivered however service has been erratic,service,in this troubling times would like to have products delivered however service has been erratic,service,0
"hi brandon, how do i copy two scenes from the storyboard and add these to a new video?",storyboard,hi brandon how do i copy two scenes from the storyboard and add these to a new video,storyboard,1
excellent app for note taking and organising my day stuff.,app,excellent app for note taking and organising my day stuff,app,2
but as a mobile app i would love to see some widgets since opening the app,mobile app,but as a mobile app i would love to see some widgets since opening the app,mobile app,0
"such as schedule planner, shopping list, review ranking, etc.","shopping list,",such as schedule planner shopping list review ranking etc,shopping list,2
"hello dear sales, we are a company considering moving to notion, however we are facing 2 major issues regarding team tasks collaboration &amp; we found a security bug with policies &amp; shared pages.",shared,hello dear sales we are a company considering moving to notion however we are facing 2 major issues regarding team tasks collaboration amp we found a security bug with policies amp shared pages,shared,0
i personally use notion for managing videos and project ma.,project,i personally use notion for managing videos and project ma,project,1
no delivery post order confirmation.,post order confirmation.,no delivery post order confirmation,post order confirmation,0
can i pay through netbanking?,pay,can i pay through netbanking,pay,1
a vat/gst number is not required for your tax jurisdiction.,tax,a vatgst number is not required for your tax jurisdiction,tax,0
how to delete workspace on ipad,ipad,how to delete workspace on ipad,ipad,1
"The app is good so far, the ASANA app works very unreliable in offline mode.",offline,The app is good so far the ASANA app works very unreliable in offline mode,offline,0
i like the app a lot but the horrendous app lag and loading times make it a big pita.,app,i like the app a lot but the horrendous app lag and loading times make it a big pita,app,2
The Company responded to feedback and request for implementing 2f authentication for customers.,Company,The Company responded to feedback and request for implementing 2f authentication for customers,Company,1
only issue that i faced that required the uninstall was that there is no undo / back / cancel in the profile creation page that pops up if you click google's federated sign-in.,undo,only issue that i faced that required the uninstall was that there is no undo  back  cancel in the profile creation page that pops up if you click googles federated signin,undo,0
"No keyboard shortcuts ??

",keyboard,"No keyboard shortcuts 

",keyboard,1
workspace name is kroescontrol nice day to you!,workspace,workspace name is kroescontrol nice day to you,workspace,1
this app deserves so much more attention.,app,this app deserves so much more attention,app,2
"indicate that we also use the microsoft suite in our high school, so i also have the email account:  of office365 for education (although i have not tried yet with that account since i am interested in the one we use with gsuite).","school,",indicate that we also use the microsoft suite in our high school so i also have the email account  of office365 for education although i have not tried yet with that account since i am interested in the one we use with gsuite,school,1
"The program is good.  After updating, when trying to create an event, crashes.  IPhone 8 Plus, iOS 13.2.3",IPhone,The program is good  After updating when trying to create an event crashes  IPhone 8 Plus iOS 1323,IPhone,1
"i just started using notion and it is amazing, only thing I would love for the mobile version would be widget's, I would love to use it with my calenders","widget's,",i just started using notion and it is amazing only thing I would love for the mobile version would be widgets I would love to use it with my calenders,widgets,0
"I use it on my iPhone and so far it worked very well, but it would be great to have an option to show all the main tasks planned for the month, in summary mode.",tasks,I use it on my iPhone and so far it worked very well but it would be great to have an option to show all the main tasks planned for the month in summary mode,tasks,1
issues not resolving about wrong delivery,wrong delivery,issues not resolving about wrong delivery,wrong delivery,0
I enjoy this app very much and find is so useful for keeping track of my personal and work to-do lists,personal,I enjoy this app very much and find is so useful for keeping track of my personal and work todo lists,personal,1
customer service is terrible - we keep getting the run around and no one gives an accurate answer.,Customer service,customer service is terrible  we keep getting the run around and no one gives an accurate answer,Customer service,0
@kashvireads @notionhq try on templates ..,templates,  try on templates ,templates,2
cannot rely on both milk delivery and grocery items.,Milk delivery,cannot rely on both milk delivery and grocery items,Milk delivery,0
Please add a google drive like feature for sharing files & folders with colleagues,files,Please add a google drive like feature for sharing files  folders with colleagues,files,1
time track with @forestapp_cc project track with @notionhq invoice with a google doc template.,Invoice,time track with  project track with  invoice with a google doc template,Invoice,1
